banner_width,banner_height,app_bundle,inventory_source,hour_of_day_utc,value
,,com.barringtontv.android.khqa,OPENX,18,0.019511577984400133
,,com.barringtontv.android.khqa,OPENX,19,0.06138917633964148
,,com.barringtontv.android.khqa,OPENX,20,0.12052138883740629
,,com.barringtontv.android.khqa,OPENX,21,0.12052138883740629
,,com.bitmango.go.wordcookies,GOOGLE_ADX,10,0.9598036653372242
,,com.bitmango.go.wordcookies,GOOGLE_ADX,11,1.2022154132521805
,,com.bitmango.go.wordcookies,GOOGLE_ADX,15,0.3084419776257838
,,com.bitmango.go.wordcookies,GOOGLE_ADX,21,0.8692673724406292
,,com.bitmango.go.wordcookies,OPENX,16,0.16065968385878587
,,com.bitmango.go.wordcookies,OPENX,17,0.11931733935921816
,,com.bitmango.go.wordcookies,OPENX,18,0.06584798179489358
,,com.bitmango.go.wordcookies,PULSEPOINT,15,0.12380519683926142
,,com.bitmango.go.wordcookies,PULSEPOINT,16,0.13414066746781955
,,com.bitmango.go.wordcookies,PULSEPOINT,17,0.11295789058012999
,,com.bitmango.go.wordcookies,PULSEPOINT,18,0.09164176597907954
,,com.bitmango.go.wordcookies,PULSEPOINT,19,0.10354951030813894
,,com.bitmango.go.wordcookies,PULSEPOINT,20,0.12484319758457606
,,com.bitmango.go.wordcookies,PULSEPOINT,21,0.12484319758457607
,,com.bitmango.go.wordcookies,PULSEPOINT,22,0.06073897634008641
,,com.bitmango.go.wordcookies,UNITY,10,0.22401614656699537
,,com.bitmango.go.wordcookies,UNITY,14,0.2511488198174679
,,com.bitmango.go.wordcookies,UNITY,15,0.3107688217122893
,,com.bitmango.go.wordcookies,UNITY,16,0.5113903343565772
,,com.bitmango.go.wordcookies,UNITY,17,0.28694236629064845
,,com.bitmango.go.wordcookies,UNITY,18,0.1962489994484064
,,com.candy.world.crush.jam.free,GOOGLE_ADX,15,0.04776529504179038
,,com.candy.world.crush.jam.free,GOOGLE_ADX,17,0.045140286316488136
,,com.candy.world.crush.jam.free,GOOGLE_ADX,19,0.026638733592820558
,,com.candy.world.crush.jam.free,GOOGLE_ADX,20,0.2840665827141116
,,com.cellit.cellitnews.wpec,OPENX,16,0.0
,,com.cellit.cellitnews.wpec,OPENX,17,0.0
,,com.cellit.cellitnews.wpec,OPENX,18,0.0
,,com.cellit.cellitnews.wpec,OPENX,19,0.0
,,com.cellit.cellitnews.wpec,OPENX,20,0.0
,,com.cmplay.bricksnballs,GOOGLE_ADX,14,0.2682792777626914
,,com.cmplay.bricksnballs,GOOGLE_ADX,15,0.9896414882282298
,,com.cmplay.bricksnballs,GOOGLE_ADX,16,0.07094228068058846
,,com.cmplay.bricksnballs,GOOGLE_ADX,17,0.9117114017164338
,,com.cmplay.bricksnballs,GOOGLE_ADX,18,0.13836492864815636
,,com.cmplay.bricksnballs,GOOGLE_ADX,19,0.03758023570519889
,,com.cmplay.bricksnballs,OPENX,15,0.14068956038252944
,,com.colorup.game,GOOGLE_ADX,18,0.0
,,com.colorup.game,GOOGLE_ADX,20,0.0
,,com.colorup.game,RUBICON,15,0.05258177656887225
,,com.colorup.game,RUBICON,16,0.04550765365092987
,,com.colorup.game,RUBICON,17,0.18450059623114257
,,com.colorup.game,RUBICON,18,0.07985482228477549
,,com.deepsleep.sleep.soft.music.sounds,GOOGLE_ADX,11,0.39013724333750716
,,com.deepsleep.sleep.soft.music.sounds,GOOGLE_ADX,13,0.20862037636409436
,,com.deepsleep.sleep.soft.music.sounds,GOOGLE_ADX,16,0.05114551290261192
,,com.deepsleep.sleep.soft.music.sounds,GOOGLE_ADX,17,0.036742519953137306
,,com.deepsleep.sleep.soft.music.sounds,GOOGLE_ADX,19,0.03183015072591928
