size,banner_width,banner_height,inventory_source,hour_of_day_utc,value
x,,,SMARTADSERVER,15,0.8126991419498181
x,,,SMARTADSERVER,16,0.7858359314857277
x,,,SMARTADSERVER,17,0.5034563068066109
x,,,SMARTADSERVER,18,2.1117088679000777
x,,,SMARTADSERVER,19,0.038569518613328475
x,,,SMARTADSERVER,20,0.04439473331581066
x,,,SMARTADSERVER,21,0.1788184692547571
x,,,SPOTX,4,0.8657462522275542
x,,,SPOTX,5,0.6711300309190902
x,,,SPOTX,6,0.3186233101932648
x,,,SPOTX,7,0.5486630689714386
x,,,SPOTX,8,1.0967333462846993
x,,,SPOTX,9,1.3656838151496802
x,,,SPOTX,10,1.3915975558460467
x,,,SPOTX,11,1.8901483681270994
x,,,SPOTX,12,1.6470554388509908
x,,,SPOTX,13,1.5921212815815664
x,,,SPOTX,14,1.952520932107598
x,,,SPOTX,15,2.0435525043568035
x,,,SPOTX,16,1.2796656320724709
x,,,SPOTX,17,1.3961071555408322
x,,,SPOTX,18,1.1366550395584498
x,,,SPOTX,19,1.412462772644734
x,,,SPOTX,20,1.4048512818437195
x,,,SPOTX,21,1.5702386406987043
x,,,STICKYADS,4,0.3174113846661009
x,,,STICKYADS,5,0.23180136301522974
x,,,STICKYADS,6,0.2821365917212016
x,,,STICKYADS,7,0.3441147109941571
x,,,STICKYADS,8,0.3879059185475564
x,,,STICKYADS,9,0.3774679131373923
x,,,STICKYADS,10,0.37675561336182795
x,,,STICKYADS,11,0.5866481556355401
x,,,STICKYADS,12,0.62799046004483
x,,,STICKYADS,13,0.564900742916318
x,,,STICKYADS,14,0.5769095856746304
x,,,STICKYADS,15,0.6981166230611356
x,,,STICKYADS,16,0.689613157490199
x,,,STICKYADS,17,0.4292978549432157
x,,,STICKYADS,18,0.3754111550819251
x,,,STICKYADS,19,0.6225877197767334
x,,,STICKYADS,20,0.8283667424848151
x,,,STICKYADS,21,0.709576108754252
x,,,TREMOR,4,0.2580879669415204
x,,,TREMOR,5,0.10736804496993434
x,,,TREMOR,6,0.12165503501940703
x,,,TREMOR,7,0.1073474689603215
x,,,TREMOR,8,0.11034714175643696
x,,,TREMOR,9,0.26537361310622454
x,,,TREMOR,10,0.5115517392295998
x,,,TREMOR,11,0.6615251235881291
x,,,TREMOR,12,0.6846985349937929
x,,,TREMOR,13,0.7761731435845183
x,,,TREMOR,14,0.7592615291569513
x,,,TREMOR,15,0.7156520125350402
x,,,TREMOR,16,0.6553909083180477
x,,,TREMOR,17,0.4615105327662285
x,,,TREMOR,18,0.36274094817914815
x,,,TREMOR,19,0.6233784224237001
x,,,TREMOR,20,0.35031786065683734
x,,,TREMOR,21,0.22083394735002754
x,,,UNITY,4,0.37130281012198707
x,,,UNITY,5,0.3578959722300487
x,,,UNITY,6,0.494373796577896
x,,,UNITY,7,0.5588279860592068
x,,,UNITY,8,0.5487114815982461
x,,,UNITY,9,0.567450996970434
x,,,UNITY,10,0.5869264083953251
x,,,UNITY,11,0.7763705405395687
x,,,UNITY,12,0.7697125072283424
x,,,UNITY,13,0.8562889419635393
x,,,UNITY,14,1.1344254454912377
x,,,UNITY,15,1.0648936608741475
x,,,UNITY,16,1.1158019638598229
x,,,UNITY,17,1.0476810802560779
x,,,UNITY,18,0.9947936133020685
x,,,UNITY,19,0.9550331995857374
x,,,UNITY,20,0.788752527876645
x,,,UNITY,21,0.634665967981694
x,,,VDOPIA,13,0.6411011583943932
x,,,VDOPIA,14,0.2165031592216203
x,,,VDOPIA,15,0.21791186926267203
