size,banner_width,banner_height,app_bundle,inventory_source,hour_of_day_utc,value
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,16,0.7848564458092097
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,17,0.8149531946544246
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,18,0.7259634624878906
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,19,0.7219833239904969
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,20,0.581240720463546
320x480,320,480,com.pixel.art.coloring.color.number,MOPUB,21,0.4737319272545912
320x480,320,480,com.tripledot.solitaire,MOPUB,19,3.3326689026046017
320x480,320,480,com.tripledot.solitaire,MOPUB,20,2.365184005004191
320x480,320,480,com.tripledot.solitaire,MOPUB,21,1.1865458466605079
320x480,320,480,com.withbuddies.dice.free,MOPUB,4,0.7335430278895011
320x480,320,480,com.withbuddies.dice.free,MOPUB,8,1.2022831374415226
320x480,320,480,com.withbuddies.dice.free,MOPUB,9,1.0322667328056772
320x480,320,480,com.withbuddies.dice.free,MOPUB,10,1.122798631493719
320x480,320,480,com.withbuddies.dice.free,MOPUB,11,1.3709783244068339
320x480,320,480,com.withbuddies.dice.free,MOPUB,12,1.3709783244068339
320x480,320,480,com.withbuddies.dice.free,MOPUB,13,1.6132417467110027
320x480,320,480,com.withbuddies.dice.free,MOPUB,14,2.069832192500293
320x480,320,480,com.withbuddies.dice.free,MOPUB,15,1.91783385363992
320x480,320,480,com.withbuddies.dice.free,MOPUB,16,2.0799539162806955
320x480,320,480,com.withbuddies.dice.free,MOPUB,17,1.91783385363992
320x480,320,480,com.withbuddies.dice.free,MOPUB,18,1.885976090978149
320x480,320,480,com.withbuddies.dice.free,MOPUB,19,1.7563913044111612
320x480,320,480,com.withbuddies.dice.free,MOPUB,20,1.4362608581501657
320x480,320,480,com.withbuddies.dice.free,MOPUB,21,1.3878393686442967
320x480,320,480,freedom.bubble,MILLENNIAL,4,0.5347441397242582
320x480,320,480,freedom.bubble,MILLENNIAL,5,0.31184864302645643
320x480,320,480,freedom.bubble,MILLENNIAL,6,0.4243083199466265
320x480,320,480,freedom.bubble,MILLENNIAL,8,0.5119532712602698
320x480,320,480,freedom.bubble,MILLENNIAL,10,0.6209527019199513
320x480,320,480,freedom.bubble,MILLENNIAL,12,1.301242382818448
320x480,320,480,freedom.bubble,MILLENNIAL,13,1.1177554874907611
320x480,320,480,freedom.bubble,MILLENNIAL,14,1.5103767318216488
320x480,320,480,freedom.bubble,MILLENNIAL,16,1.4583045593320711
320x480,320,480,freedom.bubble,MILLENNIAL,17,1.4212079021779642
320x480,320,480,freedom.bubble,MILLENNIAL,18,1.8884440453457072
320x480,320,480,freedom.bubble,MILLENNIAL,19,1.3950042751302902
320x480,320,480,freedom.bubble,MILLENNIAL,20,1.009377543950325
320x480,320,480,freedom.bubble,MILLENNIAL,21,0.8424430233105541
320x480,320,480,game.puzzle.woodypuzzle,APP_LOVIN,15,0.0
320x480,320,480,io.voodoo.paper2,APP_LOVIN,4,0.3835248837785427
320x480,320,480,io.voodoo.paper2,APP_LOVIN,5,0.44106393785366593
320x480,320,480,io.voodoo.paper2,APP_LOVIN,6,0.35948381368992116
320x480,320,480,io.voodoo.paper2,APP_LOVIN,7,0.45084562744686657
320x480,320,480,io.voodoo.paper2,APP_LOVIN,10,0.6288968216662785
320x480,320,480,io.voodoo.paper2,APP_LOVIN,11,0.9819955539152989
320x480,320,480,io.voodoo.paper2,APP_LOVIN,12,0.7576777367136255
320x480,320,480,io.voodoo.paper2,APP_LOVIN,13,0.9166156954385212
320x480,320,480,io.voodoo.paper2,APP_LOVIN,14,0.922387032523096
320x480,320,480,io.voodoo.paper2,APP_LOVIN,15,1.1754111321436973
320x480,320,480,io.voodoo.paper2,APP_LOVIN,16,1.3068245191713497
320x480,320,480,io.voodoo.paper2,APP_LOVIN,17,1.0492687706234196
320x480,320,480,io.voodoo.paper2,APP_LOVIN,18,1.053922204320763
320x480,320,480,io.voodoo.paper2,APP_LOVIN,19,0.9041870388097543
320x480,320,480,io.voodoo.paper2,APP_LOVIN,20,0.8567739575871494
320x480,320,480,io.voodoo.paper2,APP_LOVIN,21,0.6688951918646869
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,4,0.33848828729373065
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,6,0.6538162280291133
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,7,0.6538162280291133
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,9,0.8102104943917414
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,10,0.6220058298547003
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,11,1.0402083832390239
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,12,1.0206655494536845
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,13,1.2500121736783125
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,14,1.4857543838824416
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,15,1.416576959137846
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,16,1.4553118800185574
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,17,1.4455079207455759
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,18,1.1755347336088
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,19,1.2388992843582034
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,20,1.008315196841123
480x320,480,320,com.freegame.solitaire.basic2,APP_LOVIN,21,0.8094857000539809
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,4,0.27462556230260665
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,5,0.3879861644124665
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,6,0.5372862155250829
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,7,0.4877754735757484
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,9,0.2850471580403704
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,10,0.5687974095148898
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,11,0.8149807394939887
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,12,0.4476778924973069
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,13,0.9522010027217424
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,14,0.9016116835147394
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,15,0.9225000704847947
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,16,0.9479116210527861
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,17,1.0782509556027802
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,18,0.6332619899475462
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,19,0.9480607554417068
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,20,0.6180323993601555
480x320,480,320,com.fungames.sniper3d,APP_LOVIN,21,0.5524414069223204
480x320,480,320,com.glu.baseball18,MOPUB,17,1.5803622043413534
480x320,480,320,com.glu.baseball18,MOPUB,18,1.3730492988643015
480x320,480,320,com.gsn.android.tripeaks,MOPUB,4,0.5029341801550584
480x320,480,320,com.gsn.android.tripeaks,MOPUB,5,0.46420242316465876
480x320,480,320,com.gsn.android.tripeaks,MOPUB,6,0.7076115230189716
480x320,480,320,com.gsn.android.tripeaks,MOPUB,7,0.5532462779042149
480x320,480,320,com.gsn.android.tripeaks,MOPUB,8,0.7615093788710517
480x320,480,320,com.gsn.android.tripeaks,MOPUB,9,0.6046484132498788
480x320,480,320,com.gsn.android.tripeaks,MOPUB,10,0.7124570206159514
480x320,480,320,com.gsn.android.tripeaks,MOPUB,11,0.7956777953254404
480x320,480,320,com.gsn.android.tripeaks,MOPUB,12,0.973539268844547
480x320,480,320,com.gsn.android.tripeaks,MOPUB,13,0.862306657873568
480x320,480,320,com.gsn.android.tripeaks,MOPUB,14,1.1237940145560428
480x320,480,320,com.gsn.android.tripeaks,MOPUB,15,1.228936050445416
480x320,480,320,com.gsn.android.tripeaks,MOPUB,16,0.9944093346628393
480x320,480,320,com.gsn.android.tripeaks,MOPUB,17,1.2659226123951708
480x320,480,320,com.gsn.android.tripeaks,MOPUB,18,1.070792910865249
480x320,480,320,com.gsn.android.tripeaks,MOPUB,19,0.8833216752251282
480x320,480,320,com.gsn.android.tripeaks,MOPUB,20,0.8717027794195877
480x320,480,320,com.gsn.android.tripeaks,MOPUB,21,0.7319361388708367
768x1024,768,1024,com.glu.baseball18,MOPUB,4,0.4799618265103238
768x1024,768,1024,com.glu.baseball18,MOPUB,5,0.5299108314315036
768x1024,768,1024,com.glu.baseball18,MOPUB,10,0.6861382537331592
768x1024,768,1024,com.glu.baseball18,MOPUB,14,1.2980697964831391
768x1024,768,1024,com.glu.baseball18,MOPUB,16,1.3955428243435515
768x1024,768,1024,com.glu.baseball18,MOPUB,18,1.2305721063827393
768x1024,768,1024,com.glu.baseball18,MOPUB,19,1.1525444729685743
768x1024,768,1024,com.glu.baseball18,MOPUB,20,0.8590114300165897
768x1024,768,1024,com.glu.baseball18,MOPUB,21,0.7450150499857637
x,,,UNKNOWN,GOOGLE_ADX,10,0.0
x,,,UNKNOWN,GOOGLE_ADX,19,0.0
x,,,UNKNOWN,GOOGLE_ADX,21,0.0
x,,,UNKNOWN,MOPUB,4,0.0
x,,,UNKNOWN,MOPUB,8,0.0
x,,,UNKNOWN,MOPUB,16,0.0
x,,,UNKNOWN,MOPUB,17,0.0
x,,,UNKNOWN,RUBICON,20,0.0
x,,,UNKNOWN,TREMOR,13,0.0
x,,,UNKNOWN,TREMOR,17,0.0
x,,,UNKNOWN,TREMOR,18,0.0
x,,,UNKNOWN,UNITY,4,0.0
x,,,abs.workout.fitness.tabata.hiit.stomach,GOOGLE_ADX,6,1.6273751231721394
x,,,abs.workout.fitness.tabata.hiit.stomach,GOOGLE_ADX,20,1.8363777481048569
x,,,air.com.sgn.familyguy.gp,RUBICON,12,2.7733053242948755
x,,,air.com.sgn.familyguy.gp,RUBICON,15,3.0173011054329684
x,,,air.com.sgn.familyguy.gp,RUBICON,17,3.2135013967809773
x,,,air.com.sgn.familyguy.gp,RUBICON,18,2.7047663686891177
x,,,air.com.sgn.familyguy.gp,RUBICON,19,2.800300467698564
x,,,air.com.sgn.familyguy.gp,RUBICON,20,2.553251821182831
x,,,bubbles.pop.power,GOOGLE_ADX,4,0.5513441148831358
x,,,bubbles.pop.power,GOOGLE_ADX,15,1.4172511689911225
x,,,bubbles.pop.power,GOOGLE_ADX,16,1.4859172791686455
x,,,bubbles.pop.power,GOOGLE_ADX,17,1.6232494995236917
x,,,bubbles.pop.power,GOOGLE_ADX,18,1.1995727468736699
x,,,bubbles.pop.power,GOOGLE_ADX,19,1.2233620321919911
x,,,bubbles.pop.power,GOOGLE_ADX,20,1.000865625025675
x,,,bubbles.pop.power,PULSEPOINT,5,0.048210732101126405
x,,,bubbles.pop.power,PULSEPOINT,6,0.06099104053259831
x,,,bubbles.pop.power,PULSEPOINT,8,0.06099104053259831
x,,,bubbles.pop.power,PULSEPOINT,13,0.07342522449335356
x,,,bubbles.pop.power,RUBICON,4,1.8801597416508036
x,,,bubbles.pop.power,RUBICON,6,3.540414619323711
x,,,bubbles.pop.power,RUBICON,10,2.7517392421007623
x,,,bubbles.pop.power,RUBICON,11,4.3421252832761255
x,,,bubbles.pop.power,RUBICON,12,3.3880878169396853
x,,,bubbles.pop.power,RUBICON,13,3.8888991859664364
x,,,bubbles.pop.power,RUBICON,14,3.9716930482054544
x,,,bubbles.pop.power,RUBICON,15,4.160939114589321
x,,,bubbles.pop.power,RUBICON,16,4.2988197633007275
x,,,bubbles.pop.power,RUBICON,17,4.769944795177562
x,,,bubbles.pop.power,RUBICON,18,4.410662671954495
x,,,bubbles.pop.power,RUBICON,19,3.492094202604028
x,,,bubbles.pop.power,RUBICON,20,4.289028038803243
x,,,bubbles.pop.power,RUBICON,21,3.2707754036443775
x,,,bubbleshooter.orig,GOOGLE_ADX,4,0.9237682794562212
x,,,bubbleshooter.orig,GOOGLE_ADX,5,0.8050462363552189
x,,,bubbleshooter.orig,GOOGLE_ADX,9,0.5071456851776949
x,,,bubbleshooter.orig,GOOGLE_ADX,10,1.022342193809142
x,,,bubbleshooter.orig,GOOGLE_ADX,12,1.381290366911182
x,,,bubbleshooter.orig,GOOGLE_ADX,13,1.4352737563263738
x,,,bubbleshooter.orig,GOOGLE_ADX,14,2.02094727237565
x,,,bubbleshooter.orig,GOOGLE_ADX,15,2.0271460671475157
x,,,bubbleshooter.orig,GOOGLE_ADX,16,1.98038540721121
x,,,bubbleshooter.orig,GOOGLE_ADX,17,2.035246037717316
x,,,bubbleshooter.orig,GOOGLE_ADX,18,1.9087419521297888
x,,,bubbleshooter.orig,GOOGLE_ADX,19,1.8633351581702873
x,,,bubbleshooter.orig,GOOGLE_ADX,20,1.3644711991595497
x,,,bubbleshooter.orig,GOOGLE_ADX,21,1.1027633947203506
x,,,bubbleshooter.orig,PULSEPOINT,4,0.13819628002637174
x,,,bubbleshooter.orig,PULSEPOINT,5,0.04261840459414774
x,,,bubbleshooter.orig,PULSEPOINT,6,0.41646174635359
x,,,bubbleshooter.orig,PULSEPOINT,7,1.366418006782152
x,,,bubbleshooter.orig,PULSEPOINT,10,0.08395493995721763
x,,,bubbleshooter.orig,PULSEPOINT,11,0.8675016314406067
x,,,bubbleshooter.orig,PULSEPOINT,12,0.32534469968482277
x,,,bubbleshooter.orig,PULSEPOINT,13,0.07974078136542151
x,,,bubbleshooter.orig,PULSEPOINT,14,0.08270590165910692
x,,,bubbleshooter.orig,PULSEPOINT,15,0.0657215743185834
x,,,bubbleshooter.orig,PULSEPOINT,16,1.255686573153648
x,,,bubbleshooter.orig,PULSEPOINT,17,0.13493663587007695
x,,,bubbleshooter.orig,PULSEPOINT,18,0.08380217502912302
x,,,bubbleshooter.orig,PULSEPOINT,19,0.27385290271877977
x,,,bubbleshooter.orig,PULSEPOINT,20,0.21708629640709656
x,,,bubbleshooter.orig,PULSEPOINT,21,0.34651704072274186
x,,,bubbleshooter.orig,UNITY,4,0.0
x,,,bubbleshooter.orig,UNITY,9,0.0
x,,,com.Seriously.BestFiends,UNITY,4,0.6779002239823883
x,,,com.Seriously.BestFiends,UNITY,7,1.030173424288763
x,,,com.Seriously.BestFiends,UNITY,12,1.28122367457467
x,,,com.Seriously.BestFiends,UNITY,17,1.7998629571217508
x,,,com.Seriously.BestFiends,UNITY,18,1.707344548429117
x,,,com.accuweather.android,RUBICON,4,0.0481454773077687
x,,,com.accuweather.android,RUBICON,5,0.04752669880125215
x,,,com.accuweather.android,RUBICON,6,0.04978379425582598
x,,,com.accuweather.android,RUBICON,7,0.37355783869430476
x,,,com.accuweather.android,RUBICON,8,0.5248761229935865
x,,,com.accuweather.android,RUBICON,9,0.054933631766375904
x,,,com.accuweather.android,RUBICON,10,0.06412150300028825
x,,,com.accuweather.android,RUBICON,11,0.07750351501885065
x,,,com.accuweather.android,RUBICON,12,0.08321660371452193
x,,,com.accuweather.android,RUBICON,13,0.0578218165801533
x,,,com.auxbrain.egginc,UNITY,4,0.6421134173478776
x,,,com.auxbrain.egginc,UNITY,10,0.8725428407491017
x,,,com.auxbrain.egginc,UNITY,12,1.2435717645177307
x,,,com.auxbrain.egginc,UNITY,14,2.0650952260194355
x,,,com.auxbrain.egginc,UNITY,15,1.650719081105899
x,,,com.auxbrain.egginc,UNITY,19,1.4341677739033583
